id,Topo,X,Y,Z,diameter,code1,code2,code3
101,/S3,155.44,2.19,107.79,1.4,rt,,
102,/S4,155.66,2.12,109.62,1.7,rt,,
103,*^/A1/S1,140.51,5.57,79.36,3.1,rt,,
104,/S2,142.2,8.23,79.72,2.7,rt,,
105,/S3,144.24,10.56,80.66,2,rt,,
106,/S4,147.55,14.85,81.66,2.1,rt,,
107,/S5,149.95,17.76,83.15,2.1,rt,,
108,/S6,152.22,20.71,84.73,2.2,rt,,
109,/S7,154.46,23.43,85.87,2.3,rt,,
110,/S8,156.27,25.76,87.54,2.5,rt,,
111,/S9,158.08,28.35,89.31,2.6,rt,,
112,/S10,160.67,31.86,90.91,2.8,rt,,
113,/S11,162.85,34,93.69,3,rt,,
114,/S12,164.48,37.16,95.21,3.5,rt,,
115,*^/A1/S1,164.33,37.24,95.14,3.5,rt,,
116,/S2,165.03,39.11,94.71,2.7,rt,,
117,/S3,166.49,41.32,96.7,2.6,rt,,
118,/S4,167.18,43.4,99.29,2.5,rt,,
119,/S5,168.32,45.08,101.38,2.8,rt,,
120,/S6,169.74,45.61,103.78,3,rt,,
121,/S7,170.03,46.23,104.66,2.2,rt,,
122,/S8,171.16,47.77,105.64,2.1,rt,,
123,/S9,172.22,47.72,106.79,2.1,rt,,
124,*^/A1/S1,169.4705316,45.06472728,103.6870287,2.8,rt,,
125,/S2,169.5705316,44.82472728,104.8570287,2,rt,,
126,/S3,170.3805316,44.10472728,106.2970287,2,rt,,
127,/S4,170.5205316,44.06472728,107.8570287,2,rt,,
